initializing stack
starting paralel processing of 25093 genes
fulling up process stack for first time
cycling fineshed processes. moving finished to self.finished and adding new from self.stack
1660560085.7544057 removing LOC101796691 , adding LOC113842473
1660560086.7616508 removing TRNAA-AGC , adding XPOT
1660560086.766071 removing C1H12orf66 , adding TBK1
1660560086.7719495 removing LOC113842473 , adding LOC119718731
1660560087.7793863 removing SRGAP1 , adding RASSF3
1660560087.7838233 removing XPOT , adding GNS
1660560087.789834 removing LOC119718731 , adding TBC1D30
1660560088.7969673 removing RPL18A , adding LOC110353720
1660560088.80134 removing RASSF3 , adding LOC119715545
1660560088.8074496 removing TBC1D30 , adding WIF1
1660560089.8150113 removing TBK1 , adding LEMD3
1660560089.8199751 removing LOC110353720 , adding MSRB3
1660560089.8263216 removing WIF1 , adding LOC106018782
1660560090.8335743 removing GNS , adding LOC119715538
1660560090.8378549 removing LEMD3 , adding LOC119715579
1660560090.8441148 removing LOC106018782 , adding HMGA2
1660560091.8513362 removing LOC119715545 , adding LOC119718199
1660560091.8557131 removing LOC119715538 , adding LLPH
1660560091.8616605 removing HMGA2 , adding TMBIM4
1660560092.8689635 removing MSRB3 , adding LOC106019315
1660560092.873519 removing LOC119718199 , adding HELB
1660560092.880634 removing TMBIM4 , adding GRIP1
1660560093.8880115 removing LOC119715579 , adding CAND1
1660560093.8926003 removing LOC106019315 , adding DYRK2
1660560093.8984435 removing GRIP1 , adding LOC113843479
1660560094.9057875 removing LLPH , adding LOC106019320
1660560094.9102213 removing CAND1 , adding LOC106019319
1660560094.9161892 removing LOC113843479 , adding IFNG
1660560095.9234269 removing HELB , adding IL22
1660560095.9280217 removing LOC106019320 , adding MDM1
1660560095.9340465 removing IFNG , adding LOC101790108
1660560096.9413445 removing DYRK2 , adding RAP1B
1660560096.945816 removing IL22 , adding NUP107
1660560096.9517868 removing LOC101790108 , adding LOC119717749
1660560097.9590204 removing LOC106019319 , adding SLC35E3
1660560097.9634795 removing RAP1B , adding LOC110353998
1660560097.9695299 removing LOC119717749 , adding MDM2
1660560098.9768677 removing MDM1 , adding CPM
1660560098.981211 removing SLC35E3 , adding LOC110353997
1660560098.9871843 removing MDM2 , adding CPSF6
1660560099.9946005 removing NUP107 , adding LYZ
1660560099.9990997 removing CPM , adding YEATS4
1660560100.0050611 removing CPSF6 , adding LOC119715523
1660560101.0122917 removing LOC110353998 , adding LOC110352235
1660560101.0168982 removing LYZ , adding FRS2
1660560101.0228336 removing LOC119715523 , adding CCT2
1660560102.0299244 removing LOC110353997 , adding LRRC10
1660560102.0343084 removing LOC110352235 , adding LOC101804173
1660560102.0402226 removing CCT2 , adding BEST3
1660560103.0474114 removing YEATS4 , adding LOC113843452
1660560103.0517783 removing LRRC10 , adding LOC113843446
